Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
03-12-2021,Diary of a Wimpy Kid,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,324.706,189,6.5,en,"Animation, Comedy, Family",https://image.tmdb.org/t/p/original/obg6lWuNaZkoSlwrVG4VVk4SmT.jpg
15-02-2022,AI Love You,"A modern love story set in the near future where an AI building is powered by human feelings. Due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections.",317.643,16,5.3,th,"Comedy, Romance, Science Fiction",https://image.tmdb.org/t/p/original/sBiJOvHCSWORnFpc4yItflIkdTi.jpg
30-03-2022,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",317.159,0,0,en,"Action, Science Fiction, Comedy, Family",https://image.tmdb.org/t/p/original/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
17-02-2022,Erax,Monstrous creatures leap from a magical storybook and unleash mayhem and mischief for Auntie Opal and her tween niece Nina in this spooky short film.,317.102,12,5.7,en,"Mystery, Family",https://image.tmdb.org/t/p/original/rMp04rYhy4yfOfjZq5F9R3wkeqo.jpg
04-08-2020,Deathstroke: Knights & Dragons - The Movie,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,314.388,325,6.9,en,"Animation, Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/original/vFIHbiy55smzi50RmF8LQjmpGcx.jpg
13-10-2021,The Last Duel,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",312.916,1848,7.6,en,"Action, Drama, History",https://image.tmdb.org/t/p/original/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg
26-01-2022,The Pirates: The Last Royal Treasure,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.",311.94,38,6.6,ko,"Action, Adventure, Comedy, History",https://image.tmdb.org/t/p/original/zAp8FqC4pLfqcsEfuHwQflCWsA5.jpg
29-10-2021,Paranormal Activity: Next of Kin,"Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.",310.011,300,6.5,en,"Horror, Mystery, Thriller",https://image.tmdb.org/t/p/original/bXAVveHiLotZbWdg3PKGhAzxYKP.jpg
24-11-2021,House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately…murder.",308.214,1276,6.8,en,"Drama, Crime, Thriller",https://image.tmdb.org/t/p/original/vHla3Ej2m53rNmvmYkzvennLrKn.jpg
11-02-2021,Dark Spell,Terror strikes when a heartbroken woman uses black magic to get her husband back.,308.037,80,6.7,ru,"Romance, Horror, Thriller",https://image.tmdb.org/t/p/original/2AbGdSGlU6CpiV3lswHUgE5CdAA.jpg
28-07-2021,Jungle Cruise,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",307.936,4034,7.6,en,"Action, Adventure, Comedy, Fantasy",https://image.tmdb.org/t/p/original/9dKCd55IuTT5QRs989m9Qlb7d2B.jpg
24-03-2021,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",307.521,7681,7.8,en,"Action, Fantasy, Science Fiction",https://image.tmdb.org/t/p/original/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg
23-06-2012,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",306.376,14564,6.7,en,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/fSbqPbqXa7ePo8bcnZYN9AHv6zA.jpg
17-02-2022,Heart Shot,Teenagers Nikki and Sam are in love and planning their future together — until Nikki's dangerous past returns to threaten everything.,302.272,16,5.6,en,"Romance, Crime",https://image.tmdb.org/t/p/original/ubaCN0FjWhxiu1uHhI9oXSgalVK.jpg
10-12-2009,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",297.357,25011,7.5,en,"Action, Adventure, Fantasy, Science Fiction",https://image.tmdb.org/t/p/original/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg
11-06-2021,Mobile Suit Gundam Hathaway,"After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.",292.604,77,7.8,ja,"Animation, Action, Drama, Science Fiction",https://image.tmdb.org/t/p/original/6gw8onh4FKsruBA7Oouv01EFxzn.jpg
27-10-2021,Army of Thieves,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,290.54,1167,6.9,en,"Crime, Comedy",https://image.tmdb.org/t/p/original/iPTZGFmPs7HsXHYxiuxGolihjOH.jpg
23-02-2022,UFO,"When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love.",290.481,15,5.2,tr,"Drama, Romance",https://image.tmdb.org/t/p/original/m7mNjsZKuLpBWYNGSTLmWKOYkvl.jpg
03-03-2022,The Weekend Away,"When her best friend vanishes during a girls' trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception.",290.206,119,5.9,en,"Thriller, Mystery",https://image.tmdb.org/t/p/original/6MS0QEl7UK2gdFFbHfNwuYlsq4H.jpg
25-11-2020,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",284.798,2877,7.6,en,"Animation, Family, Adventure, Fantasy, Comedy",https://image.tmdb.org/t/p/original/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg
03-12-2021,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",282.246,341,7.7,en,"Animation, Family, Adventure, Comedy",https://image.tmdb.org/t/p/original/zNXNRLH5wJprUG6B1olaBTNZOjy.jpg
